name,line,dialogue_clean
House," And if I was a Kindergarten student I would trust her implicitly. [Sigh] Ok, I'll give you a for instance. The lady back there, who made your egg-salad sandwich. Her eyes look glassy, did you notice that? Now hospital policy is to stay home if you're sick, but if you're making $8.00 an hour, then ya kinda need the $8.00 an hour right? The sign in the bathroom says that employees must wash after using the facilities, but I figure that somebody who wipes snot on a sleEve isn't hyper concerned about sanitary conditions. So what do ya think? Should I trust her? I want you to check the Patient's home for contaminants, garbage, medication![interrupted]",kindergarten student would trust implicitly ok give instance lady back made egg salad sandwich eyes look glassy notice hospital policy stay home sick making hour ya kinda need hour right sign bathroom says employees must wash using facilities figure somebody wipes snot sleeve hyper concerned sanitary conditions ya think trust want check patient home contaminants garbage medication
House," Isn't that how you got into the Felker's home? [pause] Yeah, I know, court records are sealed, you were 16, it was a stupid mistake, but your old gym teacher has a big mouth. You should write a thank you note.",got felker home yeah know court records sealed stupid mistake old gym teacher big mouth write thank note
House," Well, I needed somebody around here with street smarts. Ok? Knows when you're being conned, knows how to con.",well needed somebody around street smarts ok knows conned knows con
House, I'm pretty sure you can't sue somebody for wrongful hiring.,pretty sure sue somebody wrongful hiring
House, I'm doing research. People are fascinating aren't they?,research people fascinating
House," Well, she's my Patient that's what you do with Patients. You give them medicine.",well patient patients give medicine
House, You're comparing me to a Nazi? Nice.,comparing nazi nice
House, She's my Patient.,patient
House," I did not get her sick, she is not an experiment, I have a legitimate theory about what's wrong with her.",get sick experiment legitimate theory wrong
House, There's nEver any proof. 5 different doctors come up with 5 different diagnoses based on the same evidence.,never proof different doctors come different diagnoses based evidence
House," I don't, I just find it hard to operate on the opposite assumption. And why are you so afraid of making a mistake?",find hard operate opposite assumption afraid making mistake
House, Come on.,come
House, People used to have more respect for cripples you know! [Turns to a guy in a wheelchair] They didn't really.,people used respect cripples know really
House," Should I discontinue the treatment, boss?",discontinue treatment boss
House," Cool, huh?",cool huh
House, How long do we have?,long
House, We're gonna stop all treatment.,gonna stop treatment
House," No, it's not a tumor. The steroids did something, I just don't know what.",tumor steroids something know
House," Yeah, we're gonna watch her die. Specifically we're gonna watch how fast she's dying. You just told us, each diagnosis has its own timeframe. When we see how fast it's killing her we'll know what it is.",yeah gonna watch die specifically gonna watch fast dying told us diagnosis timeframe see fast killing know
House," Well, I got nothing. How 'bout you?",well got nothing bout
House, Any other reason you think you may have Chronic Fatigue Syndrome?,reason think may chronic fatigue syndrome
House, It's kinda the definition of getting older.,kinda definition getting older
House, Apparently not while researParkng this stuff on the internet.,apparently researparkng stuff internet
House," [Looks contemplative, and then serious] Excellent diagnosis [sarcastic]!",excellent diagnosis
House," [heavy sigh] Ya know, I think there just might be.",ya know think might
House," I need 36 Vicodin, and change for a dollar.",need vicodin change dollar
House, Exam room 2. [Places the bottle back on the counter.],exam room
House, It's not a tumor; she's getting worse too fast. She can't stand up.,tumor getting worse fast stand
House, You said nothing that would explain these symptoms. What did you find that doesn't explain these symptoms?,said nothing would explain symptoms find explain symptoms
House, You idiot!,idiot
House," Not you, him! You said you didn't find anything.",said find anything
House, You found ham.,found ham
House," Where there's ham there's pork, where there's pork there's neurocysticercosis.",ham pork pork neurocysticercosis
House," It fits. Could have been living there for years, it nEver occurred to me [interrupted]",fits could living years never occurred
House," OK, Mr. Neurologist. What happens when you give steroids to a person who has a tapeworm?",ok mr neurologist happens give steroids person tapeworm
House," In a typical case if you don't cook pork well enough you ingest live tapeworm larvae. They got these little hooks they grab onto your bowel, they live, they grow up, they reproduce.",typical case cook pork well enough ingest live tapeworm larvae got little hooks grab onto bowel live grow reproduce
House," That's because this is not a typical case. Tapeworm can produce 20 to 30,000 eggs a day. Guess where they go.",typical case tapeworm produce eggs day guess go
House," Not all of them. Unlike the larvae, the egg can pass right through the walls of the intestines and into the blood stream. And where does the blood stream go?",unlike larvae egg pass right walls intestines blood stream blood stream go
House," As long as it's healthy the immune system doesn't Even know it's there. The worm builds a wall, uses secretions to shut down the body's immune response and control fluid flow. It's really kinda beautiful.",long healthy immune system even know worm builds wall uses secretions shut body immune response control fluid flow really kinda beautiful
House," It's too late for that. It's dying, and as it dies this parasite loses the ability to control of the host's defenses. The immune system wakes up and attacks the worm and Everything starts to swell, and that is very bad for the brain.",late dying dies parasite loses ability control host defenses immune system wakes attacks worm everything starts swell bad brain
House," No, no, no, no, you see, it fits, it's perfect! It explains Everything.",see fits perfect explains everything
House, I can prove it by treating it.,prove treating
House," [To nurse] Will you excuse us, please?",excuse us please
House, I'm Dr. House.,dr house
House," You're being an idiot. Ahem. [Pause] You have a tapeworm in your brain, it's not pleasant, but if we don't do anything you'll be dead by the weekend.",idiot ahem tapeworm brain pleasant anything dead weekend
House, When you're all better I'll show you my diplomas.,better show diplomas
House," I'm not talking about a treatment; I'm talking about a cure. But because I might be wrong, you want to die.",talking treatment talking cure might wrong want die
House, I had an infarction.,infarction
House, It's what happens when the blood flow is obstructed. If it's in the heart it's a heart attack. If it's in the lungs it's a pulmonary embolism. If it's in the brain it's a stroke. I had it in my thigh muscles.,happens blood flow obstructed heart heart attack lungs pulmonary embolism brain stroke thigh muscles
House," There was plenty they could do, if they made the right diagnosis, but the only symptom was pain. Not may people get to experience muscle death.",plenty could made right diagnosis symptom pain may people get experience muscle death
House, I hoped I was dying.,hoped dying
House," When you're scared, you'll turn into me.",scared turn
House," There's no such thing! Our bodies break down, sometimes when we're 90, sometimes before we're Even born, but it always happens and there's nEver any dignity in it. I don't care if you can walk, see, wipe your own ass. It's always ugly, always. [Pause] You can live with dignity, we can't die with it.",thing bodies break sometimes sometimes even born always happens never dignity care walk see wipe ass always ugly always live dignity die
House, No treatment.,treatment
House, But she does.,
House, That didn't happen here.,happen
House," I solved the case, my work is done.",solved case work done
House," Patients always want proof, we're not making cars here, we don't give guarantees.",patients always want proof making cars give guarantees
House," Yeah, yeah, yeah what's the damn idea?",yeah yeah yeah damn idea
House," Worm cysts is the same density as the cerebrospinal fluid, we're not going to see anything in her head, but Chase is right, he's right, we should x-ray her, but we don't x-ray her brain, we x-ray her leg, worms love thigh muscle. If she's got one in her head I guarantee you there's one in her leg.",worm cysts density cerebrospinal fluid going see anything head chase right right x ray x ray brain x ray leg worms love thigh muscle got one head guarantee one leg
House, Does it matter?,matter
House, Why?,
House," No, it just seems that way because you can't think of an answer. Does it make a difference why I think I'm a jerk? The only thing that matters is what you think. Can you do the job?",seems way think answer make difference think jerk thing matters think job
House," No, it wasn't a racial thing, I didn't see a black guy. I just saw a doctor!with a juvenile record. I hired Chase 'cause his dad made a phone call. I hired you because you are extremely pretty.",racial thing see black guy saw doctor juvenile record hired chase cause dad made phone call hired extremely pretty
House," I can't beliEve that that would shock you. It's also not what I said. No, I hired you because you look good; it's like having a nice piece of art in the lobby.",believe would shock also said hired look good like nice piece art lobby
House, But not THE top.,top
House," Yes, you were a very good applicant.",yes good applicant
House," Would that upset you, really, to think that you were hired because of some genetic gift of beauty not some genetic gift of intelligence?",would upset really think hired genetic gift beauty genetic gift intelligence
House," But you didn't have to. People choose the paths that gain them the greatest rewards for the least amount of effort. That's a law of nature, and you defied it. That's why I hired you. You could have married rich, could have been a model, you could have just shown up and people would have given you stuff. Lots of stuff, but you didn't, you worked your stunning little ass off.",people choose paths gain greatest rewards least amount effort law nature defied hired could married rich could model could shown people would given stuff lots stuff worked stunning little ass
House, Gorgeous women do not go to medical school. Unless they're as damaged as they are beautiful. Were you abused by a family member?,gorgeous women go medical school unless damaged beautiful abused family member
House, Sexually assaulted?,sexually assaulted
House," But you are damaged, aren't you?",damaged
House, You said she was your cousin. Why would you lie?,said cousin would lie
House," You lied to a friend to save a stranger, you don't think that's screwed up?",lied friend save stranger think screwed
House, I NEveR lie.,never lie
House, Got change for a dollar?,got change dollar
House, Close the door. Close the door!,close door close door
House," She's knows I'm in here, the clinic, as she comManded; she just doesn't know I'm alone.",knows clinic commanded know alone
House, I'm off at 4:00.,
House," I go out there, I get assigned a kid with a runny nose. That's 30 seconds looking at the nose; 25 minutes talking to a worried mom who won't leave until she sure it's not meningitis or a tumor.",go get assigned kid runny nose seconds looking nose minutes talking worried mom leave sure meningitis tumor
House, That would be lying.,would lying
House, Not the definition of case though.,definition case though
House, Cameron is answering my mail.,cameron answering mail
House, Research?,research
House," So, 4:03 PM. Dr. House checks out. Please write that down.",pm dr house checks please write
House," Sorry, done for the day. There's plenty of docs here to take care of you.",sorry done day plenty docs take care
House," Hah, nice try, but this is a walk-in clinic, which means there are no appointments. It means you walk in, sign the chart and a doctor will see you, just not me.",hah nice try walk clinic means appointments means walk sign chart doctor see
House, Not a big letter writer.,big letter writer
House, When did my signature get so girly?,signature get girly
House," See that ""G""ù, see how it makes a big loop on top? It doesn't Even look like my handwriting. Think I have something? What's the differential diagnosis for writing ""G's""ù like a junior high school girl?",see g ù see makes big loop top even look like handwriting think something differential diagnosis writing g ù like junior high school girl
House, PersEverance does not equal worthiness. Next time you want to get my attention wear something fun. Low-rider jeans are hot.,perseverance equal worthiness next time want get attention wear something fun low rider jeans hot
House," Night terrors, yeah? As in big scary monsters?",night terrors yeah big scary monsters
House, To see the family.,see family
House," 9 times out of 10 there's no reason to talk to a Patient, but night terrors in a 16 year old is a VERY good reason to talk to this family. Good work.",times reason talk patient night terrors year old good reason talk family good work
House," Margins look fine. No lesions, color is good. How long have you been having night terrors?",margins look fine lesions color good long night terrors
House," Nothing, it's just fun watParkng him blink. [To Dan] Name as Many animals as you can that begin with the letter ""B""ù go.",nothing fun watparkng blink name many animals begin letter b ù go
House," Baby elephant is actually a good answer; ""B""ù is a bear of a letter.",baby elephant actually good answer b ù bear letter
House," Proves two things, no neurological damage, and your son is nEver going to be Parkef fry cook. In teens there are two likely causes of night terrors: post traumatic stress, any recent shootouts at your high school?",proves two things neurological damage son never going parkef fry cook teens two likely causes night terrors post traumatic stress recent shootouts high school
House," Well, then, Dave!",well dave
House,"!if there's no trauma the other cause is sexual abuse. So, who's molesting you? Teacher, extra friendly neighbor? I'd ask if either one of you were involved, but you'd deny it.",trauma cause sexual abuse molesting teacher extra friendly neighbor ask either one involved deny
House," I say it here, it comes out there. This lack of response is consistent with abuse.",say comes lack response consistent abuse
House, [To Cameron] Did you know that he got hit in the head?,know got hit head
House," Yeah, why bother.",yeah bother
House," You hound me for my opinion and then question my diagnosis. Cool. ER obviously screwed up, kid's got a concussion.",hound opinion question diagnosis cool er obviously screwed kid got concussion
House," Well, that changes Everything, you need glasses. That's why you had double vision, which is why you got hit, which is why you have a concussion, which is why you have night terrors. You need to see an ophthalmologist, which I am not.",well changes everything need glasses double vision got hit concussion night terrors need see ophthalmologist
House," You're an only Parkld, aren't you?",parkld
House," Everything is about you. This may seem incredibly controversial, but I think sexual abuse is bad. I just wanted to make sure he wasn't being diddled by daddy, or mommy, anything else is just a bonus.",everything may seem incredibly controversial think sexual abuse bad wanted make sure diddled daddy mommy anything else bonus
House, [attention on Dan] Interesting.,interesting
House, Don't move. Did I bore you in there?,move bore
House, Are you tired?,tired
House," Right now, at this moment, are you tired?",right moment tired
House, That twitch in your leg. Did you feel that?,twitch leg feel
House," It's called a myoclonic jerk, it's very common when you're falling asleep. Respiration rate falls, and the brain interprets this as the body dying, so it sends a pulse to wake it up.",called myoclonic jerk common falling asleep respiration rate falls brain interprets body dying sends pulse wake
House," So, he's not asleep, he's awake. [Turns to Cameron] Admit him.",asleep awake admit
House," I recognize that loopy ""G""ù. So, what does the jerk tell us?",recognize loopy g ù jerk tell us
House," A movement disorder, or degenerative brain disease. Either way this kid's gonna be picking up his diploma in diapers and a wheelchair.",movement disorder degenerative brain disease either way kid gonna picking diploma diapers wheelchair
House," You wish. No fEver, no white count. Anyone think this differential diagnosis might be compromised because we don't have an accurate family history?",wish fever white count anyone think differential diagnosis might compromised accurate family history
House, You didn't Even take an accurate family. His father's not his father.,even take accurate family father father
House, 30% of all dads out there don't realize they're raising someone else's kid.,dads realize raising someone else kid
House, That's what our moms would like us to beliEve.,moms would like us believe
House, Fifty bucks says I'm right.,fifty bucks says right
House," Hit a nerve? Don't worry, Foreman. I'm sure the guy who tucked you in at night was your daddy.",hit nerve worry foreman sure guy tucked night daddy
House," Yes, feel free to exclude any symptom if it makes your job easier.",yes feel free exclude symptom makes job easier
House," That's a good point. Before we condemn this kid, maybe we should entertain Dr. Chase's skepticism. I want a detailed polysomnograph. If he's having night terrors I want to see them.",good point condemn kid maybe entertain dr chase skepticism want detailed polysomnograph night terrors want see
House, I'm not restraining you for them. EEG rEvealed abnormalities in your brain caused by nerve damage in your toes.,restraining eeg revealed abnormalities brain caused nerve damage toes
House, Fixing it.,fixing
House," Oh, they know all about this.",oh know
House," This is gonna hurt, Dan.",gonna hurt dan
House," Ok, but let's pretend there's something and go from there. Who sees something on this MRI?",ok let pretend something go sees something mri
House," He's 16, so he should have an absolutely pristine brain. The smallest thing is abnormal.",absolutely pristine brain smallest thing abnormal
House," Excellent, you see what he did there? He took a small clue that there's a neurological pRoblem and wasn't afraid to run with it.",excellent see took small clue neurological problem afraid run
House," No, there's not, he's completely wrong.",completely wrong
House," He knew that I saw something on the MRI so he figured there must be something there and took a guess. ClEver, but also pathetic.",knew saw something mri figured must something took guess clever also pathetic
House, Take a close look at the corpus callosum.,take close look corpus callosum
House," Are we all looking at the same thing? 200 million interhemispheric nerve fibers, the George Washington Bridge between the left and right side of the brain. It's subtle.",looking thing million interhemispheric nerve fibers george washington bridge left right side brain subtle
House, Are you guessing?,guessing
House," Too bad, you're right.",bad right
House," Yeah, he pRobably got restless and shifted one hemisphere of his brain to a more comfortable position. Something is pushing on it.",yeah probably got restless shifted one hemisphere brain comfortable position something pushing
House, Do you see a tumor on this MRI?,see tumor mri
House," There's no tumor, just a blockage causing pressure, causing symptoms. Today",tumor blockage causing pressure causing symptoms today
House, He's lucky to have you as his doctors.,lucky doctors
House, Yummy.,yummy
House," Mmhmm. No fEver, glands normal, missing her vaccination dates.",mmhmm fever glands normal missing vaccination dates
House, Think they don't work?,think work
House, Mmmm. May I? [He takes the frog and starts to do the gribbit noise with the baby],mmmm may
House," Gribbit, gribbit, gribbit. [The baby laughs] All natural, no dyes. That's a good business: all-natural Parkldren's toys. Those toy companies, they don't arbitrarily mark up their frogs. They don't lie about how much they spend on research and dEvelopment. The worst a toy company can be accused of is making a really boring frog.",gribbit gribbit gribbit natural dyes good business natural parkldren toys toy companies arbitrarily mark frogs lie much spend research development worst toy company accused making really boring frog
House," Gribbit, gribbit, gribbit. You know another really good business? Teeny tiny baby coffins. You can get them in frog green or fire engine red. Really. The antibodies in yummy mummy only protect the kid for 6 months, which is why these companies think they can gouge you. They think that you'll spend whatEver they ask to keep your kid alive. Want to change things? Prove them wrong. A few hundred parents like you decide they'd rather let their kid die then cough up 40 bucks for a vaccination, beliEve me, prices will drop REALLY fast. Gribbit, gribbit, gribbit, gribbit, gribbit.",gribbit gribbit gribbit know another really good business teeny tiny baby coffins get frog green fire engine red really antibodies yummy mummy protect kid months companies think gouge think spend whatever ask keep kid alive want change things prove wrong hundred parents like decide rather let kid die cough bucks vaccination believe prices drop really fast gribbit gribbit gribbit gribbit gribbit
House, A cold.,cold
House, Complications in surgery?,complications surgery
House, Really?,really
House, Which means multiple sclerosis. And the reason it takes three of you to tell me this?,means multiple sclerosis reason takes three tell
House," Oh, who cares about McPherson? I hear he tortured kittens.",oh cares mcpherson hear tortured kittens
House," Oh, McDonald. Wonderful doctor, loved kittens.",oh mcdonald wonderful doctor loved kittens
House," Well if it is, it's gone from 0 to 60 in three weeks, which would indiCate rapidly progressive MS. Not the fun MS with the balloons and the bike rides for cripples in wheelchairs.",well gone three weeks would indicate rapidly progressive ms fun ms balloons bike rides cripples wheelchairs
House," Start treating him now, he can walk for another couple of years, maybe live for another 5. Break it to the family. I'm going home.",start treating walk another couple years maybe live another break family going home
House," Dr. Cuddy, great outfit.",dr cuddy great outfit
House," No, hooker. Went to my office instead of my home.",hooker went office instead home
House," Yeah, I got that part from the message. You said I was needed immediately.",yeah got part message said needed immediately
House," I agree, he's gonna have a very nasty headache. That would also be my opinion if consulted tomorrow morning.",agree gonna nasty headache would also opinion consulted tomorrow morning
House, [Sighs] This is not a toddler wandering around a department store. He's 16. You'll find him. I'm going home.,toddler wandering around department store find going home
House," No, I mean ""Call me if I can do something.""ù I'm bad at search parties and I'm bad at sitting around looking nervous doing nothing.",mean call something ù bad search parties bad sitting around looking nervous nothing
House, Why? You think they're hiding him? Make sure someone checks the roof; some of the orderlies keep the door propped open so they can grab a smoke.,think hiding make sure someone checks roof orderlies keep door propped open grab smoke
House, Dr. Foreman. I assume you found the kid.,dr foreman assume found kid
House, Suicidal?,suicidal
House, Conscious?,conscious
House, How'd you talk him down?,talk
House, How come you didn't do it?,come
House," Come on, you can ride up with me.",come ride
House, Anybody tell the family that their boy almost stepped off a roof? They must be thrilled.,anybody tell family boy almost stepped roof must thrilled
House," Why does Everyone always think I'm being sarcastic? This is great news! He doesn't have MS. The parents should be thrilled, well, the mom anyway. Of course, the dad pRobably doesn't know![interrupted]",everyone always think sarcastic great news ms parents thrilled well mom anyway course dad probably know
House," He was on the roof thinking he was on the lacrosse field, conscious, and therefore not a night terror. You want some of this? [Asking Foreman about the coffee]",roof thinking lacrosse field conscious therefore night terror want
House," He was in an acute confusional state, which doesn't fit with a demyelinating disease like MS.",acute confusional state fit demyelinating disease like ms
House," Right, he has an infection in his brain.",right infection brain
House," Well, it might get compliCated. We work together. I am older, certainly, but maybe you like that.",well might get complicated work together older certainly maybe like
House," Heh, nice cover.",heh nice cover
House, We don't need a definitive test to confirm this.,need definitive test confirm
House," Ok, let's wait for you to run titers on 4000 viruses while this kid's brain turns to mush.",ok let wait run titers viruses kid brain turns mush
House," Well, it is if it's neurosyphilis, the likelihood of a false negative on an RPR test, 30%, the likelihood of a 16 year old having sex, roughly 120%.",well neurosyphilis likelihood false negative rpr test likelihood year old sex roughly
House, We're not going to wait for that. The most effective way to deliver the drug is right into his brain via the spine.,going wait effective way deliver drug right brain via spine
House, Show of hands. Who thinks I'm not in my right mind?,show hands thinks right mind
House, And who thinks I forget this fairly basic neurological fact?,thinks forget fairly basic neurological fact
House, Who thinks there's a third option?,thinks third option
House," Very good, what's the third choice?",good third choice
House," Excellent, inject him through a lumbar puncture.",excellent inject lumbar puncture
House," Geesh. It's infected, with a really big hole like you stuck a nail in it to reliEve the pressure.",geesh infected really big hole like stuck nail relieve pressure
House," Although the wound is irregular, not cylindrical, it's shaped like a triangle, so not a nail. Steak knife?",although wound irregular cylindrical shaped like triangle nail steak knife
House," [Whispered] Nail File. Yeah, pain'll make you do stupid things. Something to take the edge off? [Takes out his pills and puts one in his hand]",nail file yeah pain make stupid things something take edge
House, Cheers. [Dry swallows the pill and Funsten eats his (ewwwww)] [Limps back,cheers limps back
House, Here on work?,work
House, Does your penis hurt?,penis hurt
House," No, just thought I'd toss you a really inappropriate question. Your Lawyer's gonna love it.",thought toss really inappropriate question lawyer gonna love
House," You're from Maplewood, New Jersey. Right?",maplewood new jersey right
House," Now, why would you drive 70 miles to get treatment for a condition that a 9 year old could diagnose? It's the free-flowing pus that's the tip-off.",would drive miles get treatment condition year old could diagnose free flowing pus tip
House," Not for family, not for work. You drove 70 miles to a walk-in-clinic. You passed two hospitals on the road. Now, either you have a pRoblem with those hospitals, or they have a pRoblem with you. My guess is that you've sued half the doctors in Maplewood, and the rest are now refusing to treat you. It's ironic, isn't it? It's like the boy who sued wolf. You know what? I bet we have a doctor here named Wolfe. How perfect would that be? I'm gonna page him.",family work drove miles walk clinic passed two hospitals road either problem hospitals problem guess sued half doctors maplewood rest refusing treat ironic like boy sued wolf know bet doctor named wolfe perfect would gonna page
House," I didn't say I wouldn't treat you. We'll drain your knee, run some lab work, fix you right up.",say treat drain knee run lab work fix right
House, I'm a people person.,people person
House," All I know is that he sued some doctors, who am I to assume that they didn't have it coming to them. [Stops when he sees Cuddy coming] The cutest little tennis outfit, my God I thought I was going to have a heart attack.[Acts like he just realized that Cuddy was there.] Oh my, I didn't see you there, that is so embarrassing.",know sued doctors assume coming cutest little tennis outfit god thought going heart attack oh see embarrassing
House," Oh, sweet of you to ask, funny story, she was going to be a hospital administrator, but hated having to screw people like that.",oh sweet ask funny story going hospital administrator hated screw people like
House, You have very acute hearing.,acute hearing
House," In due course, of course.",due course course
House, Doesn't sound like me.,sound like
House, You think?,think
House, [Stage whisper] My guy knows a guy who can get you in for $50 bucks.,guy knows guy get bucks
House," And if I win, no clinic hours for a week.",win clinic hours week
House," So, either it's a bad batch of penicillin, or our diagnosis is wrong. Square one. ""Mignight.""ù",either bad batch penicillin diagnosis wrong square one mignight ù
House," There goes metabolic. [Crosses off ""M""ù]",goes metabolic
House," ""I""ù for inflammation. [Crosses out the ""I""ù]",ù inflammation
House," ""D""ù, see ya. [Crosses out the ""D""ù] ""N""ù for neoplastic?",ù see ya n ù neoplastic
House," ""I""ù for inflammation.",ù inflammation
House, Stupid to have two I's in one mneumonic. What's the other one?,stupid two one mneumonic one
House," Trauma, later much. [Looks at the board which is now all crossed out.] You know the pRoblem? Midnight is actually spelled with a ""G""ù and an ""H,""ù If we could just figure out what those two letters stand for. [Sighs and walks away for the board. His back is now facing the ducklings] It's a sick brain, having fun, torturing him, talking to him. [pause] Scaring the hell out of him. Get him an EEG, left and right EOG esophageal microphones. If this thing wants to talk, let's listen.",trauma later much know problem midnight actually spelled g ù h ù could figure two letters stand sick brain fun torturing talking scaring hell get eeg left right eog esophageal microphones thing wants talk let listen
House, We're missing something. This is screwed up.,missing something screwed
House," I panicked, ok? Sounded cool though, they bought it.",panicked ok sounded cool though bought
House," Oh, crap. Another reason I don't like meeting Patients. If they don't know what you look like they can't yell at you. [Aside to Wilson] Here we go.",oh crap another reason like meeting patients know look like yell go
